"Jugador","Salario"
"Jimmy Butler","$45.183.960"
"Bam Adebayo","$32.600.060"
"Tyler Herro","$27.000.000"
"Terry Rozier","$23.205.221"
"Duncan Robinson","$18.154.000"
"Caleb Martin","$6.802.950"
"Kevin Love","$3.835.738"
"Jaime Jaquez Jr.","$3.510.600"
"Josh Richardson","$2.891.467"
"Thomas Bryant","$2.528.233"
"Nikola Jovic","$2.352.000"
"Haywood Highsmith","$1.902.137"
"Dru Smith","$1.801.769"
"Orlando Robinson","$1.801.769"
"Delon Wright","$947.205"
"Cole Swider",""
"Jamal Cain",""
"R.J. Hampton","$350.668"
"Alondes Williams",""