"Jugador","Salario","tds3"
"Kevin Durant","$47.649.433",""
"Bradley Beal","$46.741.590","$57.128.610"
"Devin Booker","$36.016.200",""
"Jusuf Nurkic","$16.875.000",""
"Royce O'Neale","$9.500.000",""
"Grayson Allen","$8.500.000",""
"Nassir Little","$6.250.000",""
"Eric Gordon","$3.196.448","$3.356.271"
"Josh Okogie","$2.815.937","$2.956.734"
"Keon Johnson","$2.808.720",""
"David Roddy","$2.718.240",""
"Damion Lee","$2.528.233","$2.845.342"
"Drew Eubanks","$2.346.614","$2.654.644"
"Bol Bol","$2.165.000",""
"Thaddeus Young","$1.010.371",""
"Udoka Azubuike","",""
"Saben Lee","",""
"Théo Maledon","",""