No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
5,Kentavious Caldwell-Pope,SG,6-5,204,February 18 1993,us,9,Georgia,caldwke01
31,Vlatko Čančar,PF,6-8,236,April 10 1997,si,3,,cancavl01
50,Aaron Gordon,PF,6-8,235,September 16 1995,us,8,Arizona,gordoaa01
32,Jeff Green,PF,6-8,235,August 28 1986,us,14,Georgetown,greenje02
3,Bones Hyland,PG,6-2,173,September 14 2000,us,1,VCU,hylanbo01
7,Reggie Jackson,PG,6-2,208,April 16 1990,it,11,Boston College,jacksre01
15,Nikola Jokić,C,6-11,284,February 19 1995,rs,7,,jokicni01
6,DeAndre Jordan,C,6-11,265,July 21 1988,us,14,Texas A&M,jordade01
27,Jamal Murray,PG,6-4,215,February 23 1997,ca,5,Kentucky,murraja01
22,Zeke Nnaji,PF,6-9,240,January 9 2001,us,2,Arizona,nnajize01
1,Michael Porter Jr.,SF,6-10,218,June 29 1998,us,3,Missouri,portemi01
9,Davon Reed,SG,6-5,208,June 11 1995,us,3,Miami (FL),reedda01
14,Ish Smith,PG,6-0,175,July 5 1988,us,12,Wake Forest,smithis01
8,Peyton Watson,SG,6-8,200,September 11 2002,us,R,UCLA,watsope01
10,Jack White,SF,6-7,225,August 5 1997,au,R,Duke,whiteja03
4,Steven Adams,C,6-11,265,July 20 1993,nz,9,Pitt,adamsst01
7,Santi Aldama,PF,6-11,224,January 10 2001,es,1,Loyola (MD),aldamsa01
22,Desmond Bane,SG,6-5,215,June 25 1998,us,2,TCU,banede01
24,Dillon Brooks,SF,6-6,225,January 22 1996,ca,5,Oregon,brookdi01
1,Kennedy Chandler,PG,6-0,171,September 16 2002,us,R,Tennessee,chandke01
15,Brandon Clarke,PF,6-8,215,September 19 1996,ca,3,San Jose State Gonzaga,clarkbr01
0,Jacob Gilyard,PG,5-9,160,July 14 1998,us,R,Richmond,gilyaja01
14,Danny Green,SG,6-6,215,June 22 1987,us,13,UNC,greenda02
13,Jaren Jackson Jr.,C,6-10,242,September 15 1999,us,4,Michigan State,jacksja02
21,Tyus Jones,PG,6-1,196,May 10 1996,us,7,Duke,jonesty01
10,Luke Kennard,SG,6-5,206,June 24 1996,us,5,Duke,kennalu01
46,John Konchar,SF,6-5,210,March 22 1996,us,3,Purdue-Fort Wayne,konchjo01
3,Jake LaRavia,PF,6-8,235,November 3 2001,us,R,Indiana State University Wake Forest,laravja01
6,Kenneth Lofton Jr.,PF,6-7,275,August 14 2002,us,R,Louisiana Tech,loftoke01
12,Ja Morant,PG,6-2,174,August 10 1999,us,3,Murray State,moranja01
27,David Roddy,PF,6-4,255,March 27 2001,us,R,Colorado State,roddyda01
2,Xavier Tillman Sr.,C,6-8,245,January 12 1999,us,2,Michigan State,tillmxa01
5,Vince Williams Jr.,SG,6-4,205,August 30 2000,us,R,VCU,willivi01
8,Ziaire Williams,SF,6-9,215,September 12 2001,us,1,Stanford,willizi02
40,Harrison Barnes,PF,6-8,225,May 30 1992,us,10,UNC,barneha02
24,Deonte Burton,PF,6-4,240,January 31 1994,us,2,Marquette Iowa State,burtode02
3,Terence Davis,SG,6-4,201,May 16 1997,us,3,Ole Miss,daviste02
8,Matthew Dellavedova,PG,6-3,200,September 8 1990,au,8,Saint Mary's,dellama01
35,PJ Dozier,SF,6-6,205,October 25 1996,us,5,South Carolina,doziepj01
17,Kessler Edwards,SF,6-8,215,August 9 2000,us,1,Pepperdine,edwarke02
23,Keon Ellis,SG,6-6,175,January 8 2000,us,R,Florida SouthWestern State College Alabama,elliske01
5,De'Aaron Fox,PG,6-3,185,December 20 1997,us,5,Kentucky,foxde01
22,Richaun Holmes,C,6-10,235,October 15 1993,us,7,Bowling Green,holmeri01
9,Kevin Huerter,SG,6-7,190,August 27 1998,us,4,Maryland,huertke01
25,Alex Len,C,7-0,250,June 16 1993,ua,9,Maryland,lenal01
41,Trey Lyles,PF,6-9,234,November 5 1995,ca,7,Kentucky,lylestr01
7,Chimezie Metu,PF,6-9,225,March 22 1997,us,4,USC,metuch01
15,Davion Mitchell,PG,6-2,205,September 5 1998,us,1,Auburn Baylor,mitchda01
19,Chima Moneke,SF,6-6,222,December 24 1995,ng,R,Northeast Community College UC-Davis,monekch01
0,Malik Monk,SG,6-3,200,February 4 1998,us,5,Kentucky,monkma01
13,Keegan Murray,SF,6-8,215,August 19 2000,us,R,Iowa,murrake02
30,KZ Okpala,PF,6-8,215,April 28 1999,us,3,Stanford,okpalkz01
88,Neemias Queta,C,7-0,245,July 13 1999,pt,1,Utah State University,quetane01
10,Domantas Sabonis,C,6-10,240,May 3 1996,us,6,Gonzaga,sabondo01
22,Deandre Ayton,C,7-0,250,July 23 1998,bs,4,Arizona,aytonde01
55,Darius Bazley,C,6-8,208,June 12 2000,us,3,,bazleda01
18,Bismack Biyombo,C,6-8,255,August 28 1992,cd,11,,biyombi01
1,Devin Booker,SG,6-6,206,October 30 1996,us,7,Kentucky,bookede01
25,Mikal Bridges,SF,6-6,209,August 30 1996,us,4,Villanova,bridgmi01
0,Torrey Craig,PF,6-7,221,December 19 1990,us,5,USC Upstate,craigto01
35,Kevin Durant,PF,6-11,240,September 29 1988,us,14,Texas,duranke01
23,Cameron Johnson,PF,6-8,210,March 3 1996,us,3,Pitt UNC,johnsca02
11,Jock Landale,C,6-11,256,October 25 1995,au,1,Saint Mary's,landajo01
10,Damion Lee,SG,6-5,210,October 21 1992,us,5,Drexel Louisville,leeda03
38,Saben Lee,PG,6-2,183,June 23 1999,us,2,Vanderbilt,leesa01
2,Josh Okogie,SG,6-4,213,September 1 1998,ng,4,Georgia Tech,okogijo01
3,Chris Paul,PG,6-0,175,May 6 1985,us,17,Wake Forest,paulch01
15,Cameron Payne,PG,6-3,183,August 8 1994,us,7,Murray State,payneca01
8,Terrence Ross,SG,6-6,206,February 5 1991,us,10,Washington,rosste01
20,Dario Šarić,PF,6-10,225,April 8 1994,hr,5,,saricda01
14,Landry Shamet,SG,6-4,190,March 13 1997,us,4,Wichita State,shamela01
12,Ish Wainright,SF,6-6,250,September 12 1994,us,1,Baylor,wainris01
21,T.J. Warren,SF,6-8,220,September 5 1993,us,7,NC State,warretj01
4,Duane Washington Jr.,SG,6-3,210,March 24 2000,de,1,Ohio State,washidu02
33,Nicolas Batum,PF,6-8,230,December 14 1988,fr,14,,batumni01
4,Brandon Boston Jr.,SF,6-7,185,November 28 2001,us,1,Kentucky,bostobr01
9,Moses Brown,C,7-2,245,October 13 1999,us,3,UCLA,brownmo01
7,Amir Coffey,SF,6-7,210,June 17 1997,us,3,Minnesota,coffeam01
23,Robert Covington,PF,6-7,209,December 14 1990,us,9,Tennessee State,covinro01
25,Moussa Diabaté,C,6-11,210,January 21 2002,fr,R,Michigan,diabamo01
13,Paul George,SF,6-8,220,May 2 1990,us,12,Fresno State,georgpa01
10,Eric Gordon,SG,6-3,215,December 25 1988,us,14,Indiana,gordoer01
5,Bones Hyland,PG,6-2,173,September 14 2000,us,1,VCU,hylanbo01
1,Reggie Jackson,PG,6-2,208,April 16 1990,it,11,Boston College,jacksre01
5,Luke Kennard,SG,6-5,206,June 24 1996,us,5,Duke,kennalu01
2,Kawhi Leonard,SF,6-7,225,June 29 1991,us,10,San Diego State,leonaka01
14,Terance Mann,SG,6-5,215,October 18 1996,us,3,Florida State,mannte01
15,Xavier Moon,SG,6-2,165,January 2 1995,us,1,Northwest Florida State College Morehead State University,moonxa01
8,Marcus Morris,PF,6-8,218,September 2 1989,us,11,Kansas,morrima03
44,Mason Plumlee,C,6-10,254,March 5 1990,us,9,Duke,plumlma01
24,Norman Powell,SG,6-3,215,May 25 1993,us,7,UCLA,powelno01
0 1,Jason Preston,PG,6-4,187,August 10 1999,us,R,Ohio University,prestja01
11,John Wall,PG,6-3,210,September 6 1990,us,10,Kentucky,walljo01
0,Russell Westbrook,PG,6-4,200,November 12 1988,us,14,UCLA,westbru01
40,Ivica Zubac,C,7-0,240,March 18 1997,ba,6,,zubaciv01
7,Patrick Baldwin Jr.,SF,6-9,220,November 18 2002,us,R,UW-Milwaukee,baldwpa01
30,Stephen Curry,PG,6-2,185,March 14 1988,us,13,Davidson,curryst01
0,Donte DiVincenzo,SG,6-4,203,January 31 1997,us,4,Villanova,divindo01
23,Draymond Green,PF,6-6,230,March 4 1990,us,10,Michigan State,greendr01
1,JaMychal Green,PF,6-8,227,June 21 1990,us,8,Alabama,greenja01
9,Andre Iguodala,PF,6-6,215,January 28 1984,us,18,Arizona,iguodan01
10,Ty Jerome,SG,6-5,195,July 8 1997,us,3,Virginia,jeromty01
00,Jonathan Kuminga,PF,6-8,210,October 6 2002,cd,1,,kuminjo01
40,Anthony Lamb,SF,6-6,227,January 20 1998,us,2,University of Vermont,lamban01
5,Kevon Looney,C,6-9,222,February 6 1996,us,7,UCLA,looneke01
4,Moses Moody,SG,6-6,205,May 31 2002,us,1,Arkansas,moodymo01
8,Gary Payton II,SG,6-2,190,December 1 1992,us,6,Oregon State,paytoga02
3,Jordan Poole,PG,6-4,194,June 19 1999,us,3,Michigan,poolejo01
25,Lester Quinones,SG,6-5,208,November 16 2000,us,R,Memphis,quinole01
2,Ryan Rollins,PG,6-4,180,July 3 2002,us,R,Toledo,rolliry01
11,Klay Thompson,SF,6-6,215,February 8 1990,us,9,Washington State,thompkl01
22,Andrew Wiggins,SF,6-7,197,February 23 1995,ca,8,Kansas,wiggian01
33,James Wiseman,C,7-0,240,March 31 2001,us,1,Memphis,wisemja01
12,Mo Bamba,C,7-0,231,May 12 1998,us,4,Texas,bambamo01
5,Malik Beasley,SG,6-4,187,November 26 1996,us,6,Florida State,beaslma01
21,Patrick Beverley,SG,6-2,180,July 12 1988,us,10,Arkansas,beverpa01
9,Sterling Brown,SF,6-5,219,February 10 1995,us,5,SMU,brownst02
7,Troy Brown Jr.,SF,6-6,215,July 28 1999,us,4,Oregon,browntr01
31,Thomas Bryant,C,6-10,248,July 31 1997,us,5,Indiana,bryanth01
10,Max Christie,SG,6-6,190,February 10 2003,us,R,Michigan State,chrisma02
3,Anthony Davis,C,6-10,253,March 11 1993,us,10,Kentucky,davisan02
35,Wenyen Gabriel,C,6-9,205,March 26 1997,sd,3,Kentucky,gabriwe01
28,Rui Hachimura,PF,6-8,230,February 8 1998,jp,3,Gonzaga,hachiru01
0,Shaquille Harrison,SG,6-4,190,October 6 1993,us,5,Tulsa,harrish01
6,LeBron James,PF,6-9,250,December 30 1984,us,19,,jamesle01
30,Damian Jones,C,6-11,245,June 30 1995,us,6,Vanderbilt,jonesda03
12,Kendrick Nunn,SG,6-2,190,August 3 1995,us,2,Illinois Oakland,nunnke01
14,Scotty Pippen Jr.,PG,6-1,185,November 10 2000,us,R,Vanderbilt,pippesc02
15,Austin Reaves,SG,6-5,206,May 29 1998,us,1,Wichita State Oklahoma,reaveau01
11,Davon Reed,SG,6-5,208,June 11 1995,us,3,Miami (FL),reedda01
1,D'Angelo Russell,PG,6-3,193,February 23 1996,us,7,Ohio State,russeda01
37,Matt Ryan,SF,6-6,215,April 17 1997,us,1,Notre Dame Vanderbilt Chattanooga,ryanma01
17,Dennis Schröder,PG,6-1,172,September 15 1993,de,9,,schrode01
20,Cole Swider,SF,6-9,220,May 8 1999,us,R,Villanova Syracuse,swideco01
9,Tristan Thompson,C,6-9,254,March 13 1991,ca,11,Texas,thomptr01
95,Juan Toscano-Anderson,SF,6-6,209,April 10 1993,us,3,Marquette,toscaju01
2,Jarred Vanderbilt,PF,6-8,214,April 3 1999,us,4,Kentucky,vandeja01
4,Lonnie Walker IV,SG,6-4,204,December 14 1998,us,4,Miami (FL),walkelo01
0,Russell Westbrook,PG,6-4,200,November 12 1988,us,14,UCLA,westbru01
9,Nickeil Alexander-Walker,SG,6-5,205,September 2 1998,ca,3,Virginia Tech,alexani01
5,Kyle Anderson,PF,6-9,230,September 20 1993,us,8,UCLA,anderky01
10,Mike Conley,PG,6-0,175,October 11 1987,us,15,Ohio State,conlemi01
1,Anthony Edwards,SG,6-4,225,August 5 2001,us,2,Georgia,edwaran01
10,Bryn Forbes,SG,6-2,205,July 23 1993,us,6,Michigan State,forbebr01
55,Luka Garza,C,6-10,235,December 27 1998,us,1,Iowa,garzalu01
27,Rudy Gobert,C,7-1,258,June 26 1992,fr,9,,goberru01
13,Nathan Knight,C,6-8,253,September 20 1997,us,2,William & Mary,knighna01
00,A.J. Lawson,SG,6-6,179,July 15 2000,ca,R,South Carolina,lawsoaj01
3,Jaden McDaniels,SF,6-9,185,September 29 2000,us,2,Washington,mcdanja02
6,Jordan McLaughlin,PG,6-0,185,April 9 1996,us,3,USC,mclaujo01
8,Josh Minott,SF,6-8,205,November 25 2002,us,R,Memphis,minotjo01
7,Wendell Moore Jr.,SG,6-5,213,September 18 2001,us,R,Duke,moorewe01
4,Jaylen Nowell,SG,6-4,201,July 9 1999,us,3,Washington,nowelja01
12,Taurean Prince,PF,6-6,218,March 22 1994,us,6,Baylor,princta02
11,Naz Reid,C,6-9,264,August 26 1999,us,3,LSU,reidna01
25,Austin Rivers,SG,6-4,200,August 1 1992,us,10,Duke,riverau01
0,D'Angelo Russell,PG,6-3,193,February 23 1996,us,7,Ohio State,russeda01
37,Matt Ryan,SF,6-6,215,April 17 1997,us,1,Notre Dame Vanderbilt Chattanooga,ryanma01
32,Karl-Anthony Towns,PF,7-0,248,November 15 1995,us,7,Kentucky,townska01
15,Jose Alvarado,PG,6-0,179,April 12 1998,us,1,Georgia Tech,alvarjo01
11,Dyson Daniels,PG,6-8,199,March 17 2003,au,R,,daniedy01
4,Devonte' Graham,PG,6-1,195,February 22 1995,us,4,Kansas,grahade01
10,Jaxson Hayes,C,7-0,220,May 23 2000,us,3,Texas,hayesja02
9,Willy Hernangómez,C,6-11,250,May 27 1994,es,6,,hernawi01
14,Brandon Ingram,SF,6-8,190,September 2 1997,us,6,Duke,ingrabr01
5,Herbert Jones,PF,6-8,210,October 6 1998,us,1,Alabama,joneshe01
13,Kira Lewis Jr.,PG,6-1,170,April 6 2001,us,2,Alabama,lewiski01
8,Naji Marshall,SF,6-7,220,January 24 1998,us,2,Xavier,marshna01
3,CJ McCollum,PG,6-3,190,September 19 1991,us,9,Lehigh,mccolcj01
25,Trey Murphy III,SF,6-8,206,June 18 2000,us,1,Rice University Virginia,murphtr02
22,Larry Nance Jr.,C,6-8,245,January 1 1993,us,7,Wyoming,nancela02
2,Josh Richardson,SG,6-5,200,September 15 1993,us,7,Tennessee,richajo01
0,Dereon Seabron,SG,6-7,180,May 26 2000,us,R,NC State,seabrde01
41,Garrett Temple,SG,6-5,195,May 8 1986,us,12,LSU,templga01
17,Jonas Valančiūnas,C,6-11,265,May 6 1992,lt,10,,valanjo01
1,Zion Williamson,PF,6-6,284,July 6 2000,us,2,Duke,willizi01
55,Darius Bazley,C,6-8,208,June 12 2000,us,3,,bazleda01
14,Jared Butler,PG,6-3,195,August 25 2000,us,1,Baylor,butleja02
13,Ousmane Dieng,PF,6-10,216,May 21 2003,fr,R,,diengou01
5,Luguentz Dort,SF,6-3,215,April 19 1999,ca,3,Arizona State,dortlu01
3,Josh Giddey,PF,6-8,210,October 10 2002,au,1,,giddejo01
2,Shai Gilgeous-Alexander,PG,6-6,180,July 12 1998,ca,4,Kentucky,gilgesh01
11,Isaiah Joe,SG,6-4,165,July 2 1999,us,2,Arkansas,joeis01
23,Tre Mann,PG,6-3,178,February 3 2001,us,1,Florida,manntr01
33,Mike Muscala,C,6-10,240,July 1 1991,us,9,Bucknell,muscami01
97,Eugene Omoruyi,SF,6-7,244,February 14 1997,ng,1,Rutgers University Oregon,omorueu01
17,Aleksej Pokusevski,PF,7-0,190,December 26 2001,rs,2,,pokusal01
50,Jeremiah Robinson-Earl,PF,6-9,230,November 3 2000,us,1,Villanova,robinje02
9,Dario Šarić,C,6-10,225,April 8 1994,hr,5,,saricda01
30,Olivier Sarr,C,7-0,237,February 20 1999,fr,1,Wake Forest Kentucky,sarrol01
12,Lindy Waters III,SG,6-6,215,July 28 1997,us,1,Oklahoma State,waterli01
21,Aaron Wiggins,SG,6-6,200,January 2 1999,us,1,Maryland,wiggiaa01
8,Jalen Williams,SG,6-5,195,April 14 2001,us,R,Santa Clara,willija06
6,Jaylin Williams,C,6-9,240,June 29 2002,us,R,Arkansas,willija07
34,Kenrich Williams,PF,6-6,210,December 2 1994,us,4,TCU,willike04
44,Dāvis Bertāns,PF,6-10,225,November 12 1992,lv,6,,bertada01
25,Reggie Bullock,SF,6-6,205,March 16 1991,us,9,UNC,bullore01
2,Facundo Campazzo,PG,5-10,195,March 23 1991,ar,2,,campafa01
26,Spencer Dinwiddie,SG,6-5,215,April 6 1993,us,8,Colorado,dinwisp01
77,Luka Dončić,PG,6-7,230,February 28 1999,si,4,,doncilu01
5,Tyler Dorsey,SF,6-5,183,February 18 1996,us,2,Oregon,dorsety01
10,Dorian Finney-Smith,PF,6-7,220,May 4 1993,us,6,Florida,finnedo01
8,Josh Green,SG,6-5,200,November 16 2000,au,2,Arizona,greenjo02
11,Tim Hardaway Jr.,SF,6-5,205,March 16 1992,us,9,Michigan,hardati02
3,Jaden Hardy,SG,6-4,198,July 5 2002,us,R,,hardyja02
0,Justin Holiday,SF,6-6,180,April 5 1989,us,9,Washington,holidju01
2,Kyrie Irving,SG,6-2,195,March 23 1992,au,11,Duke,irvinky01
42,Maxi Kleber,PF,6-10,240,January 29 1992,de,5,,klebima01
9,A.J. Lawson,SG,6-6,179,July 15 2000,ca,R,South Carolina,lawsoaj01
00,JaVale McGee,C,7-0,270,January 19 1988,us,14,Nevada,mcgeeja01
13,Markieff Morris,PF,6-9,245,September 2 1989,us,11,Kansas,morrima02
21,Frank Ntilikina,SG,6-4,200,July 28 1998,be,5,,ntilila01
1,Theo Pinson,SG,6-5,212,November 5 1995,us,4,UNC,pinsoth01
7,Dwight Powell,C,6-10,240,July 20 1991,ca,8,Stanford,poweldw01
30,Chris Silva,PF,6-8,234,September 19 1996,ga,3,South Carolina,silvach01
34,Kemba Walker,PG,6-0,184,May 8 1990,us,11,UConn,walkeke02
35,Christian Wood,C,6-8,214,September 27 1995,us,6,UNLV,woodch01
23,McKinley Wright IV,PG,6-0,196,October 25 1998,us,1,Colorado,wrighmc01
30,Ochai Agbaji,SG,6-5,215,April 20 2000,us,R,Kansas,agbajoc01
6,Nickeil Alexander-Walker,SG,6-5,205,September 2 1998,ca,3,Virginia Tech,alexani01
20,Udoka Azubuike,C,6-10,280,September 17 1999,ng,2,Kansas,azubuud01
5,Malik Beasley,SG,6-4,187,November 26 1996,us,6,Florida State,beaslma01
10,Leandro Bolmaro,SF,6-6,200,September 11 2000,ar,1,,bolmale01
55,Jarrell Brantley,PF,6-5,250,June 7 1996,us,2,College of Charleston,brantja01
00,Jordan Clarkson,SG,6-3,194,June 7 1992,us,8,Tulsa Missouri,clarkjo01
11,Mike Conley,PG,6-0,175,October 11 1987,us,15,Ohio State,conlemi01
11,Kris Dunn,PG,6-3,205,March 18 1994,us,6,Providence,dunnkr01
16,Simone Fontecchio,SF,6-8,209,December 9 1995,it,R,,fontesi01
22,Rudy Gay,PF,6-8,250,August 17 1986,us,16,UConn,gayru01
0,Talen Horton-Tucker,SG,6-4,234,November 25 2000,us,3,Iowa State,hortota01
3,Frank Jackson,PG,6-3,205,May 4 1998,us,4,Duke,jacksfr01
15,Damian Jones,C,6-11,245,June 30 1995,us,6,Vanderbilt,jonesda03
33,Johnny Juzang,SG,6-7,215,March 17 2001,us,R,Kentucky UCLA,juzanjo01
24,Walker Kessler,C,7-0,245,July 26 2001,us,R,UNC Auburn,kesslwa01
23,Lauri Markkanen,PF,7-0,240,May 22 1997,fi,5,Arizona,markkla01
41,Kelly Olynyk,C,6-11,240,April 19 1991,ca,9,Gonzaga,olynyke01
25,Micah Potter,PF,6-10,248,April 6 1998,us,1,Ohio State Wisconsin,pottemi01
19,Luka Šamanić,PF,6-10,227,January 9 2000,hr,2,,samanlu01
2,Collin Sexton,PG,6-3,190,January 4 1999,us,4,Alabama,sextoco01
95,Juan Toscano-Anderson,SF,6-6,209,April 10 1993,us,3,Marquette,toscaju01
8,Jarred Vanderbilt,PF,6-8,214,April 3 1999,us,4,Kentucky,vandeja01
51,Ryan Arcidiacono,PG,6-3,195,March 26 1994,us,5,Villanova,arcidry01
4,Greg Brown III,PF,6-7,205,September 1 2001,us,1,Texas,browngr01
21,John Butler,C,7-0,175,December 4 2002,us,R,Florida State,butlejo01
50,Chance Comanche,C,6-10,210,April 14 1996,us,R,Arizona,comanch01
24,Drew Eubanks,C,6-9,245,February 1 1997,us,4,Oregon State,eubandr01
9,Jerami Grant,PF,6-7,210,March 12 1994,us,8,Syracuse,grantje01
00,Shaquille Harrison,SG,6-4,190,October 6 1993,us,5,Tulsa,harrish01
11,Josh Hart,SF,6-4,215,March 6 1995,us,5,Villanova,hartjo01
6,Keon Johnson,SG,6-5,186,March 10 2002,us,1,Tennessee,johnske07
11,Kevin Knox,PF,6-7,215,August 11 1999,us,4,Kentucky,knoxke01
0,Damian Lillard,PG,6-2,195,July 15 1990,us,10,Weber State,lillada01
10,Nassir Little,SF,6-5,220,February 11 2000,us,3,UNC,littlna01
8,Skylar Mays,PG,6-4,205,September 5 1997,us,2,LSU,mayssk01
35,Justin Minaya,SF,6-5,210,March 26 1999,us,R,,minayju01
27,Jusuf Nurkić,C,7-0,290,August 23 1994,ba,8,,nurkiju01
00,Gary Payton II,SG,6-2,190,December 1 1992,us,6,Oregon State,paytoga02
5,Cam Reddish,SF,6-8,218,September 1 1999,us,3,Duke,reddica01
17,Shaedon Sharpe,SG,6-6,200,May 30 2003,ca,R,Kentucky,sharpsh01
1,Anfernee Simons,SG,6-3,181,June 8 1999,us,4,,simonan01
4,Matisse Thybulle,SG,6-5,201,March 4 1997,us,3,Washington,thybuma01
34,Jabari Walker,SF,6-9,215,July 30 2002,us,R,Colorado,walkeja01
2,Trendon Watford,PF,6-9,240,November 9 2000,us,1,LSU,watfotr01
23,Jeenathan Williams,SG,6-5,205,February 12 1999,us,R,Buffalo,willije02
26,Justise Winslow,PF,6-6,222,March 26 1996,us,7,Duke,winslju01
9,Josh Christopher,SG,6-5,215,December 8 2001,us,1,Arizona State,chrisjo01
5,Darius Days,SF,6-7,245,October 20 1999,us,R,LSU,daysda01
17,Tari Eason,PF,6-8,216,May 10 2001,us,R,Cincinnati LSU,easonta01
20,Bruno Fernando,C,6-9,240,August 15 1998,ao,3,Maryland,fernabr01
16,Usman Garuba,C,6-8,220,March 9 2002,es,1,,garubus01
10,Eric Gordon,SG,6-3,215,December 25 1988,us,14,Indiana,gordoer01
4,Jalen Green,SG,6-4,178,February 9 2002,us,1,,greenja05
12,Trevor Hudgins,PG,6-0,180,March 23 1999,us,R,Northwest Missouri State University,hudgitr01
33,Frank Kaminsky,C,7-0,240,April 4 1993,us,7,Wisconsin,kaminfr01
51,Boban Marjanović,C,7-4,290,August 15 1988,rs,7,,marjabo01
6,KJ Martin,SF,6-6,215,January 6 2001,us,2,,martike04
25,Garrison Mathews,SG,6-5,215,October 24 1996,us,3,Lipscomb,mathega01
15,Daishen Nix,PG,6-5,224,February 13 2002,us,1,,nixda01
3,Kevin Porter Jr.,PG,6-4,203,May 4 2000,us,3,USC,porteke02
28,Alperen Şengün,C,6-11,235,July 25 2002,tr,1,,sengual01
1,Jabari Smith Jr.,PF,6-11,220,May 13 2003,us,R,Auburn,smithja05
8,Jae'Sean Tate,SF,6-4,230,October 28 1995,us,2,Ohio State,tateja01
0,TyTy Washington Jr.,PG,6-3,197,November 15 2001,us,R,Kentucky,washity02
26,Dominick Barlow,PF,6-9,221,May 26 2003,us,R,,barlodo01
28,Charles Bassey,C,6-10,235,October 28 2000,ng,1,Western Kentucky,bassech01
31,Keita Bates-Diop,PF,6-8,229,January 23 1996,us,4,Ohio State,bateske01
22,Malaki Branham,SG,6-4,180,May 12 2003,us,R,Ohio State,branhma01
30,Julian Champagnie,SF,6-8,220,June 29 2001,us,R,St. John's,champju02
23,Zach Collins,C,6-11,250,November 19 1997,us,4,Gonzaga,colliza01
41,Gorgui Dieng,C,6-10,252,January 18 1990,sn,9,Louisville,dienggo01
4,Devonte' Graham,PG,6-1,195,February 22 1995,us,4,Kansas,grahade01
55,Jordan Hall,SF,6-7,215,January 14 2002,us,R,Saint Joseph's,halljo02
19,Alize Johnson,PF,6-7,212,April 22 1996,us,4,Missouri State,johnsal02
3,Keldon Johnson,SF,6-5,220,October 11 1999,us,3,Kentucky,johnske04
34,Stanley Johnson,SF,6-6,242,May 29 1996,us,7,Arizona,johnsst04
33,Tre Jones,PG,6-1,185,January 8 2000,us,2,Duke,jonestr01
35,Romeo Langford,SG,6-5,216,October 25 1999,us,3,Indiana,langfro01
54,Sandro Mamukelashvili,C,6-11,240,May 23 1999,us,1,Seton Hall,mamuksa01
17,Doug McDermott,SF,6-6,225,January 3 1992,us,8,Creighton,mcderdo01
25,Jakob Poeltl,C,7-0,245,October 15 1995,at,6,Utah,poeltja01
11,Joshua Primo,SG,6-6,190,December 24 2002,ca,1,Alabama,primojo01
7,Josh Richardson,SG,6-5,200,September 15 1993,us,7,Tennessee,richajo01
18,Isaiah Roby,PF,6-8,230,February 3 1998,us,3,Nebraska,robyis01
10,Jeremy Sochan,PF,6-8,230,May 20 2003,us,R,Baylor,sochaje01
24,Devin Vassell,SG,6-5,200,August 23 2000,us,2,Florida State,vassede01
14,Blake Wesley,SG,6-5,185,March 16 2003,us,R,Notre Dame,weslebl01
