Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salario
Mouhamed Gueye,AP,21,ATL,2,0,4,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,1,0,0,1,0,1119563
Rui Hachimura,AP,25,LAL,51,22,1302,250,483,0.518,67,165,0.406,183,318,0.575,0.587,70,99,0.707,39,152,191,53,36,16,36,74,637,15740741
Tyrese Haliburton,BA,23,IND,51,50,1635,383,793,0.483,150,398,0.377,233,395,0.59,0.578,145,171,0.848,30,164,194,580,54,33,119,48,1061,5808435
R.J. Hampton,BA,22,MIA,8,2,76,4,14,0.286,1,8,0.125,3,6,0.5,0.321,1,2,0.5,2,4,6,8,0,0,3,8,10,120250
Tim Hardaway Jr.,AL,31,DAL,61,10,1737,338,830,0.407,182,504,0.361,156,326,0.479,0.517,130,152,0.855,19,190,209,101,29,5,57,90,988,17897728
James Harden,BA,34,LAC,57,57,1974,293,657,0.446,160,392,0.408,133,265,0.502,0.568,257,292,0.88,25,270,295,473,62,52,146,109,1003,35640000
Jaden Hardy,ES,21,DAL,56,6,807,159,392,0.406,70,192,0.365,89,200,0.445,0.495,44,59,0.746,15,87,102,87,17,4,41,58,432,1719864
Ron Harper Jr.,AP,23,TOR,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,147988
Gary Harris,ES,29,ORL,40,13,918,101,221,0.457,57,150,0.38,44,71,0.62,0.586,28,37,0.757,18,48,66,69,37,11,21,68,287,13000000
Joe Harris,ES,32,DET,16,0,170,14,39,0.359,10,30,0.333,4,9,0.444,0.487,1,2,0.5,3,10,13,10,3,2,4,19,39,19928571
Tobias Harris,AP,31,PHI,57,57,1937,385,777,0.495,70,203,0.345,315,574,0.549,0.541,160,179,0.894,64,290,354,183,59,32,76,96,1000,39270150
Shaquille Harrison,ES,30,MEM,3,0,6,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,0,0,1,0,0,2,145301
Josh Hart,AL,28,NYK,62,23,1959,212,493,0.43,69,206,0.335,143,287,0.498,0.5,61,80,0.763,88,384,472,221,52,20,84,120,554,12960000
Isaiah Hartenstein,P,25,NYK,57,31,1425,156,258,0.605,1,3,0.333,155,255,0.608,0.607,80,110,0.727,188,288,476,123,62,63,67,159,393,8195121
Sam Hauser,AL,26,BOS,62,6,1286,166,373,0.445,134,322,0.416,32,51,0.627,0.625,15,17,0.882,36,170,206,56,23,18,28,80,481,1927896
Jordan Hawkins,ES,21,NOP,55,10,1075,167,428,0.39,104,281,0.37,63,147,0.429,0.512,64,75,0.853,28,113,141,65,17,6,38,68,502,4310160
Jaxson Hayes,P,23,LAL,54,3,617,85,123,0.691,0,8,0.0,85,115,0.739,0.691,33,55,0.6,46,91,137,24,26,22,26,89,203,2165000
Killian Hayes,BA,22,DET,42,31,1008,117,283,0.413,22,74,0.297,95,209,0.455,0.452,33,50,0.66,11,108,119,205,36,20,51,75,289,7413955
Gordon Hayward,AL,33,TOT,34,25,936,150,331,0.453,24,65,0.369,126,266,0.474,0.489,68,89,0.764,31,113,144,127,31,12,54,52,392,31500000
Scoot Henderson,BA,19,POR,44,16,1186,195,518,0.376,53,172,0.308,142,346,0.41,0.428,123,150,0.82,38,90,128,207,25,10,128,133,566,9770880
Taylor Hendricks,AP,20,UTA,23,6,401,51,116,0.44,23,68,0.338,28,48,0.583,0.539,9,11,0.818,27,64,91,13,14,13,17,40,134,5569920
Tyler Herro,ES,24,MIA,36,36,1209,283,648,0.437,117,293,0.399,166,355,0.468,0.527,66,79,0.835,18,173,191,158,29,3,77,51,749,27000000
Buddy Hield,ES,31,TOT,65,41,1757,299,685,0.436,180,463,0.389,119,222,0.536,0.568,38,44,0.864,41,169,210,203,60,35,84,139,816,19279841
Haywood Highsmith,AP,27,MIA,47,24,945,97,226,0.429,49,135,0.363,48,91,0.527,0.538,21,26,0.808,39,90,129,46,42,25,26,89,264,1902137
D'Moi Hodge,ES,25,LAL,7,0,41,5,15,0.333,3,12,0.25,2,3,0.667,0.433,1,2,0.5,0,0,0,5,1,1,1,4,14,241285
Aaron Holiday,BA,27,HOU,60,1,1001,146,323,0.452,70,172,0.407,76,151,0.503,0.56,40,45,0.889,16,84,100,108,32,5,45,94,402,2346614
Jrue Holiday,BA,33,BOS,58,58,1924,285,588,0.485,119,267,0.446,166,321,0.517,0.586,58,70,0.829,74,249,323,279,51,42,108,95,747,36158747
Justin Holiday,ES,34,DEN,40,9,587,58,124,0.468,36,88,0.409,22,36,0.611,0.613,3,4,0.75,6,43,49,46,24,5,9,49,155,3196448
Richaun Holmes,AP,30,TOT,33,3,383,57,99,0.576,1,1,1.0,56,98,0.571,0.581,22,32,0.688,47,70,117,19,8,13,16,52,137,12046020
Chet Holmgren,P,21,OKC,63,63,1902,402,744,0.54,106,271,0.391,296,473,0.626,0.612,162,206,0.786,101,389,490,172,41,157,101,154,1072,10386000
Jalen Hood-Schifino,ES,20,LAL,21,0,109,10,45,0.222,2,15,0.133,8,30,0.267,0.244,12,20,0.6,2,11,13,8,3,2,9,13,34,3695040
Al Horford,P,37,BOS,53,24,1413,158,326,0.485,79,202,0.391,79,124,0.637,0.606,19,22,0.864,68,284,352,140,29,51,37,80,414,10000000
Talen Horton-Tucker,BA,23,UTA,41,11,805,146,364,0.401,46,139,0.331,100,225,0.444,0.464,72,90,0.8,20,83,103,153,36,15,55,75,410,11020000
Caleb Houstan,AL,21,ORL,47,9,674,68,172,0.395,61,161,0.379,7,11,0.636,0.573,19,24,0.792,23,51,74,26,12,3,15,52,216,2000000
Jett Howard,AL,20,ORL,13,0,49,8,22,0.364,5,17,0.294,3,5,0.6,0.477,2,4,0.5,1,4,5,3,0,1,2,3,23,5026800
Kevin Huerter,ES,25,SAC,60,55,1494,241,540,0.446,120,328,0.366,121,212,0.571,0.557,36,47,0.766,38,176,214,157,39,22,50,126,638,15669643
De'Andre Hunter,AL,26,ATL,39,24,1097,201,418,0.481,78,183,0.426,123,235,0.523,0.574,120,140,0.857,22,124,146,50,30,12,53,107,600,20089286
Bones Hyland,BA,23,LAC,24,2,316,53,143,0.371,24,75,0.32,29,68,0.426,0.455,11,14,0.786,3,18,21,45,13,2,27,31,141,2306400
Joe Ingles,AL,36,ORL,50,0,862,74,180,0.411,50,123,0.407,24,57,0.421,0.55,19,23,0.826,17,90,107,148,33,4,45,69,217,11000000
Brandon Ingram,AL,26,NOP,57,57,1892,458,928,0.494,81,222,0.365,377,706,0.534,0.537,235,292,0.805,40,247,287,330,45,35,151,131,1232,33833400
Kyrie Irving,ES,31,DAL,42,42,1439,407,831,0.49,126,301,0.419,281,530,0.53,0.566,131,146,0.897,32,180,212,210,50,19,71,77,1071,37037037
Jonathan Isaac,AP,26,ORL,43,1,636,100,202,0.495,22,70,0.314,78,132,0.591,0.55,48,67,0.716,54,129,183,19,31,49,22,44,270,17400000
Jaden Ivey,ES,21,DET,59,43,1668,317,718,0.442,92,269,0.342,225,449,0.501,0.506,183,243,0.753,75,133,208,214,43,34,144,168,909,7614480
Andre Jackson Jr.,ES,22,MIL,48,8,504,46,88,0.523,15,40,0.375,31,48,0.646,0.608,8,11,0.727,36,58,94,44,14,4,22,82,115,1119563
Isaiah Jackson,P,22,IND,47,3,637,132,199,0.663,0,4,0.0,132,195,0.677,0.663,63,88,0.716,72,121,193,40,29,51,35,118,327,2696280
Jaren Jackson Jr.,P,24,MEM,56,56,1795,435,979,0.444,102,317,0.322,333,662,0.503,0.496,291,358,0.813,70,247,317,120,63,89,133,198,1263,27102202
Justin Jackson,AL,28,MIN,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,145301
Reggie Jackson,BA,33,DEN,64,16,1427,258,584,0.442,77,218,0.353,181,366,0.495,0.508,52,67,0.776,23,103,126,241,34,10,80,113,645,5000000
Trayce Jackson-Davis,AP,23,GSW,50,4,674,146,206,0.709,0,0,,146,206,0.709,0.709,52,93,0.559,82,123,205,46,16,46,32,84,344,1119563
LeBron James,AP,39,LAL,56,56,1962,535,1013,0.528,122,301,0.405,413,712,0.58,0.588,223,301,0.741,47,348,395,448,71,33,180,65,1415,47607350
Jaime Jaquez Jr.,AL,22,MIA,57,17,1679,284,568,0.5,53,160,0.331,231,408,0.566,0.547,114,141,0.809,70,157,227,147,64,11,90,131,735,3510600
DaQuan Jeffries,ES,26,NYK,13,0,34,5,14,0.357,1,7,0.143,4,7,0.571,0.393,0,2,0.0,0,5,5,2,0,0,1,2,11,951635
Trey Jemison,P,24,TOT,12,5,206,26,48,0.542,0,0,,26,48,0.542,0.542,8,11,0.727,18,28,46,8,5,11,12,36,60,64343
Ty Jerome,ES,26,CLE,2,0,15,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,,1,0,1,3,0,0,1,2,4,2439025
Isaiah Joe,ES,24,OKC,59,0,1087,168,364,0.462,111,267,0.416,57,97,0.588,0.614,34,40,0.85,24,111,135,66,35,17,36,67,481,1997238
Cameron Johnson,AP,27,BRK,49,45,1359,243,537,0.453,120,303,0.396,123,234,0.526,0.564,68,88,0.773,50,166,216,122,41,13,48,92,674,25700000
Jalen Johnson,AL,22,ATL,48,45,1630,304,582,0.522,56,162,0.346,248,420,0.59,0.57,88,121,0.727,63,351,414,165,55,43,83,122,752,2925480
James Johnson,AP,36,IND,6,0,32,2,6,0.333,0,1,0.0,2,5,0.4,0.333,2,2,1.0,1,3,4,6,4,1,2,7,6,2608596
Keldon Johnson,AL,24,SAS,60,26,1777,351,776,0.452,111,321,0.346,240,455,0.527,0.524,148,189,0.783,83,246,329,178,47,18,90,133,961,20000000
Keon Johnson,ES,21,BRK,4,0,51,7,19,0.368,4,9,0.444,3,10,0.3,0.474,10,10,1.0,3,2,5,3,3,1,4,4,28,2808720
Nikola Jokić,P,28,DEN,62,62,2120,634,1088,0.583,64,183,0.35,570,905,0.63,0.612,282,342,0.825,178,578,756,568,75,57,182,156,1614,47607350
Colby Jones,ES,21,SAC,17,0,121,17,46,0.37,1,13,0.077,16,33,0.485,0.38,2,5,0.4,10,15,25,10,4,1,5,16,37,2019706
Damian Jones,P,28,CLE,27,0,167,18,35,0.514,2,7,0.286,16,28,0.571,0.543,10,11,0.909,10,27,37,12,3,11,10,18,48,2586665
Derrick Jones Jr.,AL,26,DAL,59,49,1397,192,391,0.491,68,194,0.351,124,197,0.629,0.578,75,104,0.721,63,141,204,57,45,40,52,96,527,2709849
Herbert Jones,AL,25,NOP,58,58,1702,234,456,0.513,90,207,0.435,144,249,0.578,0.612,99,116,0.853,62,147,209,143,74,45,68,168,657,12015150
Tre Jones,BA,24,SAS,59,30,1555,217,431,0.503,41,133,0.308,176,298,0.591,0.551,82,94,0.872,40,157,197,356,56,7,85,69,557,9895833
Tyus Jones,BA,27,WAS,63,63,1829,315,637,0.495,101,241,0.419,214,396,0.54,0.574,30,38,0.789,20,154,174,452,69,18,62,47,761,14000000
DeAndre Jordan,P,35,DEN,29,1,327,48,76,0.632,0,0,,48,76,0.632,0.632,22,49,0.449,48,84,132,20,5,13,19,48,118,3196448
Cory Joseph,BA,32,GSW,26,0,296,23,64,0.359,13,42,0.31,10,22,0.455,0.461,4,7,0.571,6,24,30,42,4,3,12,25,63,3196448
Luke Kennard,ES,27,MEM,32,15,799,115,250,0.46,88,191,0.461,27,59,0.458,0.636,38,43,0.884,9,80,89,97,15,1,37,34,356,15418363
Walker Kessler,P,22,UTA,52,18,1213,194,302,0.642,4,19,0.211,190,283,0.671,0.649,46,81,0.568,137,253,390,46,26,139,53,110,438,2831160
Corey Kispert,AL,24,WAS,61,3,1390,266,558,0.477,123,341,0.361,143,217,0.659,0.587,88,113,0.779,19,136,155,105,26,11,70,99,743,3722040
Maxi Kleber,P,32,DAL,27,7,589,44,106,0.415,21,65,0.323,23,41,0.561,0.514,19,29,0.655,18,79,97,43,9,19,20,54,128,11000000
Kevin Knox,AL,24,DET,31,11,560,86,186,0.462,31,94,0.33,55,92,0.598,0.546,20,22,0.909,18,57,75,23,13,7,22,50,223,2144320
John Konchar,AL,27,MEM,49,18,981,75,177,0.424,31,101,0.307,44,76,0.579,0.511,17,20,0.85,60,154,214,90,41,47,36,64,198,2400000
Furkan Korkmaz,ES,26,PHI,35,0,300,30,76,0.395,14,40,0.35,16,36,0.444,0.487,14,20,0.7,4,26,30,25,14,3,10,17,88,5370370
Luke Kornet,P,28,BOS,45,2,662,97,139,0.698,0,0,,97,139,0.698,0.698,33,37,0.892,81,93,174,37,16,44,17,63,227,2413304
Jonathan Kuminga,AP,21,GSW,62,36,1601,375,706,0.531,42,140,0.3,333,566,0.588,0.561,191,259,0.737,82,216,298,129,43,30,99,135,983,6012720
Kyle Kuzma,AP,28,WAS,61,61,1957,534,1155,0.462,140,414,0.338,394,741,0.532,0.523,155,199,0.779,59,340,399,254,31,44,158,132,1363,25568182
Jock Landale,P,28,HOU,37,0,335,33,86,0.384,3,20,0.15,30,66,0.455,0.401,19,24,0.792,49,39,88,25,9,14,12,36,88,8000000
Jake LaRavia,AP,22,MEM,19,0,312,43,118,0.364,14,58,0.241,29,60,0.483,0.424,32,40,0.8,24,36,60,20,10,7,15,35,132,3199920
Zach LaVine,ES,28,CHI,25,23,872,170,376,0.452,59,169,0.349,111,207,0.536,0.531,88,103,0.854,8,121,129,98,21,8,52,57,487,40064220
Alex Len,P,30,SAC,28,0,247,31,54,0.574,0,3,0.0,31,51,0.608,0.574,7,17,0.412,33,50,83,25,8,15,18,32,69,3196448
Kawhi Leonard,AL,32,LAC,57,57,1972,515,985,0.523,123,289,0.426,392,696,0.563,0.585,215,241,0.892,70,285,355,214,98,48,96,85,1368,45640084
Caris LeVert,ES,29,CLE,51,1,1429,260,630,0.413,85,258,0.329,175,372,0.47,0.48,108,144,0.75,27,170,197,245,50,24,79,89,713,15384616
Kira Lewis Jr.,BA,22,TOT,19,0,153,17,54,0.315,2,21,0.095,15,33,0.455,0.333,10,11,0.909,5,10,15,21,6,1,8,9,46,5722116
Maxwell Lewis,AL,21,LAL,22,0,74,3,12,0.25,1,3,0.333,2,9,0.222,0.292,0,0,,1,2,3,3,2,0,7,4,7,1119563
E.J. Liddell,AP,23,NOP,8,0,23,1,6,0.167,0,5,0.0,1,1,1.0,0.167,2,2,1.0,0,5,5,1,2,2,2,2,4,1801769
Damian Lillard,BA,33,MIL,59,59,2062,437,1032,0.423,177,506,0.35,260,526,0.494,0.509,395,426,0.927,30,225,255,400,61,12,152,105,1446,45640084
Nassir Little,AL,23,PHO,34,2,426,49,107,0.458,19,60,0.317,30,47,0.638,0.547,17,20,0.85,14,57,71,19,10,10,13,37,134,6250000
Dereck Lively II,P,19,DAL,45,42,1108,176,237,0.743,0,2,0.0,176,235,0.749,0.743,37,70,0.529,119,197,316,52,31,65,44,129,389,4775640
Isaiah Livers,AP,25,DET,23,6,469,40,116,0.345,22,77,0.286,18,39,0.462,0.44,12,18,0.667,15,33,48,25,13,5,16,43,114,1836096
Chris Livingston,AL,20,MIL,16,0,69,7,16,0.438,1,3,0.333,6,13,0.462,0.469,2,2,1.0,2,13,15,5,2,0,4,11,17,1119563
Kevon Looney,P,27,GSW,61,36,1033,116,195,0.595,0,1,0.0,116,194,0.598,0.595,46,68,0.676,125,236,361,123,24,22,44,132,278,7500000
Brook Lopez,P,35,MIL,61,61,1900,286,599,0.477,111,315,0.352,175,284,0.616,0.57,83,101,0.822,90,235,325,101,37,159,54,150,766,25000000
Robin Lopez,P,35,MIL,16,2,65,7,19,0.368,2,8,0.25,5,11,0.455,0.421,2,2,1.0,3,2,5,4,1,3,2,7,18,3196448
Kevin Love,AP,35,MIA,47,5,822,135,305,0.443,74,212,0.349,61,93,0.656,0.564,81,104,0.779,50,242,292,105,16,9,38,85,425,3835738
Kyle Lowry,BA,37,TOT,44,39,1243,122,286,0.427,73,188,0.388,49,98,0.5,0.554,46,54,0.852,30,122,152,188,46,16,63,109,363,1138964
Trey Lyles,AP,28,SAC,47,0,940,117,257,0.455,69,178,0.388,48,79,0.608,0.589,41,59,0.695,47,163,210,55,13,14,30,75,344,8000000
Théo Maledon,BA,22,TOT,17,1,213,20,70,0.286,5,30,0.167,15,40,0.375,0.321,14,15,0.933,4,20,24,28,7,0,18,21,59,167291
Terance Mann,ES,27,LAC,56,52,1413,176,358,0.492,51,154,0.331,125,204,0.613,0.563,51,64,0.797,69,122,191,99,28,11,35,105,454,10576923
Tre Mann,BA,22,TOT,24,11,454,68,148,0.459,25,61,0.41,43,87,0.494,0.544,16,20,0.8,9,72,81,72,21,0,26,25,177,3191280
Lauri Markkanen,AP,26,UTA,51,51,1677,395,818,0.483,164,409,0.401,231,409,0.565,0.583,222,250,0.888,115,306,421,103,44,24,67,95,1176,17259999
Naji Marshall,AL,26,NOP,51,1,964,131,284,0.461,45,116,0.388,86,168,0.512,0.54,63,80,0.788,48,135,183,103,37,11,56,73,370,1930681
Caleb Martin,AL,28,MIA,46,19,1250,180,398,0.452,61,156,0.391,119,242,0.492,0.529,58,75,0.773,54,157,211,94,32,19,54,101,479,6802950
Cody Martin,AL,28,CHO,28,22,753,82,215,0.381,27,86,0.314,55,129,0.426,0.444,20,33,0.606,19,90,109,104,32,18,44,48,211,7560000
Garrison Mathews,ES,27,ATL,47,4,609,52,120,0.433,47,109,0.431,5,11,0.455,0.629,13,18,0.722,14,50,64,20,11,4,15,76,164,2000000
Bennedict Mathurin,AL,21,IND,59,19,1538,296,663,0.446,80,214,0.374,216,449,0.481,0.507,184,224,0.821,60,174,234,119,35,14,97,117,856,6916080
Wesley Matthews,ES,37,ATL,23,1,250,15,48,0.313,10,37,0.27,5,11,0.455,0.417,14,20,0.7,4,29,33,13,10,6,6,29,54,3196448
Tyrese Maxey,BA,23,PHI,55,55,2056,497,1108,0.449,168,445,0.378,329,663,0.496,0.524,269,309,0.871,31,175,206,345,56,27,94,121,1431,4343920
Skylar Mays,BA,26,TOT,31,5,419,62,156,0.397,16,54,0.296,46,102,0.451,0.449,13,17,0.765,10,32,42,83,17,4,19,25,153,914343
Miles McBride,BA,23,NYK,50,5,741,122,277,0.44,63,155,0.406,59,122,0.484,0.554,23,28,0.821,16,39,55,68,32,5,19,65,330,1836096
T.J. McConnell,BA,31,IND,53,4,929,212,385,0.551,7,24,0.292,205,361,0.568,0.56,37,48,0.771,29,111,140,289,56,5,78,56,468,8700000
Jaden McDaniels,AL,23,MIN,54,53,1577,230,456,0.504,66,183,0.361,164,273,0.601,0.577,42,56,0.75,40,116,156,78,45,30,67,169,568,3901399
Jalen McDaniels,AL,26,TOR,36,0,325,37,110,0.336,11,54,0.204,26,56,0.464,0.386,14,20,0.7,10,42,52,20,13,4,19,33,99,4516000
Doug McDermott,AL,32,TOT,52,0,766,102,239,0.427,80,193,0.415,22,46,0.478,0.594,11,19,0.579,9,42,51,61,11,2,25,51,295,13750000
JaVale McGee,P,36,SAC,39,0,310,73,116,0.629,0,4,0.0,73,112,0.652,0.629,25,43,0.581,37,75,112,14,9,19,31,44,171,3196448
Bryce McGowens,ES,21,CHO,50,13,789,88,194,0.454,30,88,0.341,58,106,0.547,0.531,52,69,0.754,16,75,91,46,20,7,26,70,258,1719864
Jordan McLaughlin,BA,27,MIN,38,0,339,36,85,0.424,21,49,0.429,15,36,0.417,0.547,6,10,0.6,10,29,39,67,26,6,13,21,99,2320000
De'Anthony Melton,ES,25,PHI,36,33,1002,136,348,0.391,75,207,0.362,61,141,0.433,0.499,66,79,0.835,27,110,137,110,56,16,39,82,413,8000000
Nathan Mensah,P,25,CHO,25,0,307,12,28,0.429,0,0,,12,28,0.429,0.429,9,12,0.75,29,36,65,9,6,14,14,64,33,257371
Sam Merrill,ES,27,CLE,45,1,729,118,284,0.415,104,250,0.416,14,34,0.412,0.599,12,13,0.923,18,69,87,67,15,1,12,51,352,1997238
Chimezie Metu,P,26,PHO,37,5,447,66,130,0.508,15,51,0.294,51,79,0.646,0.565,38,43,0.884,24,86,110,19,19,9,27,39,185,2346614
Khris Middleton,AL,32,MIL,43,43,1129,242,497,0.487,73,193,0.378,169,304,0.556,0.56,79,95,0.832,26,158,184,216,38,13,89,104,636,29320988
Brandon Miller,AL,21,CHO,57,51,1828,365,828,0.441,134,359,0.373,231,469,0.493,0.522,101,122,0.828,48,194,242,133,50,31,103,146,965,10880400
Leonard Miller,AL,20,MIN,7,0,26,7,11,0.636,1,3,0.333,6,8,0.75,0.682,0,0,,1,9,10,3,1,1,1,3,15,1800000
Dariq Whitehead,AL,19,BRK,2,0,24,1,5,0.2,0,3,0.0,1,2,0.5,0.2,1,2,0.5,0,4,4,3,0,1,0,0,3,2966040
Patty Mills,BA,35,TOT,20,0,218,24,58,0.414,16,38,0.421,8,20,0.4,0.552,0,0,,5,17,22,14,9,1,9,18,64,6802950
Shake Milton,ES,27,TOT,43,0,555,75,186,0.403,17,62,0.274,58,124,0.468,0.449,38,47,0.809,14,55,69,56,18,6,31,47,205,5000000
Josh Minott,AL,21,MIN,21,0,62,10,21,0.476,1,6,0.167,9,15,0.6,0.5,12,14,0.857,3,9,12,3,3,3,2,7,33,1719864
Davion Mitchell,BA,25,SAC,52,4,700,88,192,0.458,33,96,0.344,55,96,0.573,0.544,20,27,0.741,8,46,54,87,11,3,29,65,229,5063760
Donovan Mitchell,ES,27,CLE,47,47,1679,454,961,0.472,159,428,0.371,295,533,0.553,0.555,248,288,0.861,42,212,254,290,85,24,137,106,1315,32600060
Evan Mobley,AP,22,CLE,38,38,1183,247,427,0.578,11,35,0.314,236,392,0.602,0.591,88,125,0.704,92,296,388,116,34,59,73,108,593,8882760
Malik Monk,ES,25,SAC,61,0,1596,338,753,0.449,136,364,0.374,202,389,0.519,0.539,139,171,0.813,22,156,178,326,39,37,133,124,951,9945830
Moses Moody,ES,21,GSW,49,8,875,148,324,0.457,50,153,0.327,98,171,0.573,0.534,56,71,0.789,54,103,157,37,33,20,35,60,402,3918480
Taze Moore,ES,25,POR,3,0,10,3,5,0.6,0,2,0.0,3,3,1.0,0.6,0,0,,0,0,0,1,1,0,1,2,6,64343
Ja Morant,BA,24,MEM,9,9,318,80,170,0.471,14,51,0.275,66,119,0.555,0.512,52,64,0.813,6,44,50,73,7,5,27,19,226,34005250
Marcus Morris,AP,34,PHI,37,7,637,90,205,0.439,36,90,0.4,54,115,0.47,0.527,31,36,0.861,18,91,109,26,13,11,19,61,247,17116279
Markieff Morris,AP,34,DAL,19,1,163,18,51,0.353,12,32,0.375,6,19,0.316,0.471,3,4,0.75,4,26,30,11,5,1,10,11,51,3196448
Monte Morris,BA,28,TOT,17,0,241,34,90,0.378,11,36,0.306,23,54,0.426,0.439,6,9,0.667,5,24,29,40,8,3,4,6,85,9800926
Trey Murphy III,AL,23,NOP,38,10,1028,172,393,0.438,107,286,0.374,65,107,0.607,0.574,66,87,0.759,25,133,158,70,33,20,16,47,517,3359280
Dejounte Murray,ES,27,ATL,60,60,2109,503,1076,0.467,137,381,0.36,366,695,0.527,0.531,166,205,0.81,43,276,319,343,78,19,138,100,1309,18214000
Jamal Murray,BA,26,DEN,48,48,1526,384,799,0.481,117,277,0.422,267,522,0.511,0.554,126,148,0.851,32,159,191,313,42,30,103,87,1011,33833400
Keegan Murray,AL,23,SAC,58,58,1909,325,701,0.464,127,353,0.36,198,348,0.569,0.554,77,93,0.828,72,230,302,95,62,40,50,158,854,8409000
Kris Murray,AL,23,POR,43,10,723,77,192,0.401,25,95,0.263,52,97,0.536,0.466,19,31,0.613,41,76,117,48,35,9,29,49,198,2847480
Mike Muscala,P,32,TOT,38,6,520,50,139,0.36,28,88,0.318,22,51,0.431,0.46,17,24,0.708,32,75,107,32,8,12,18,44,145,808297
Svi Mykhailiuk,AL,26,BOS,26,0,206,26,74,0.351,19,59,0.322,7,15,0.467,0.48,3,6,0.5,8,18,26,14,8,0,8,12,74,2346614
Andrew Nembhard,BA,24,IND,50,29,1187,192,388,0.495,42,116,0.362,150,272,0.551,0.549,30,38,0.789,30,70,100,214,49,4,83,99,456,2131905
